Gender,Height,Weight,Bust/Chest,Cup Size,Waist,Hips,Body Shape Index
Male,"5'0""",46,31,,34,44,1
Female,"5'11""",86,31,DD,35,40,4
Female,"4'10""",54,46,A,39,49,1
Female,"5'8""",86,28,F,29,38,2
Female,"5'8""",69,35,E,27,29,0
Male,"5'0""",65,43,,33,34,0
Female,"5'1""",61,48,E,22,24,3
Male,"6'3""",77,52,,44,45,1
Male,"5'4""",61,32,,27,35,1
Female,"6'4""",93,46,C,35,42,0
Male,"5'5""",74,46,,48,48,3
Female,"4'10""",42,38,E,23,33,3
Male,"5'11""",79,49,,33,37,4
Female,"6'0""",83,31,D,40,41,4
Female,"5'11""",94,46,E,24,24,2
Male,"5'0""",53,30,,37,45,4
Male,"5'4""",64,43,,42,43,1
Male,"4'11""",47,35,,33,42,2
Male,"6'0""",70,39,,40,45,3
Male,"5'8""",63,50,,43,48,3
Female,"5'5""",53,40,F,35,39,0
Female,"5'1""",72,36,B,23,24,0
Female,"6'0""",95,40,A,26,26,3
Female,"4'11""",52,33,C,34,37,0
Male,"6'6""",79,39,,34,37,0
Female,"5'7""",63,46,B,31,34,2
Female,"6'1""",81,48,AA,34,39,3
Male,"5'3""",72,30,,28,35,1
Female,"6'2""",82,37,B,27,32,3
Male,"6'4""",97,45,,41,47,4
Male,"5'3""",53,31,,35,43,1
Female,"5'9""",75,43,B,28,33,0
Female,"5'3""",71,39,D,23,28,1
Female,"5'8""",78,43,C,41,42,4
Female,"5'1""",65,35,DD,34,36,3
Female,"5'2""",58,47,DD,29,35,4
Female,"5'8""",72,38,A,29,38,3
Male,"6'0""",97,41,,38,47,0
Male,"5'10""",70,44,,40,40,0
Male,"6'0""",68,31,,36,43,0
Female,"6'5""",78,41,E,27,32,4
Male,"4'11""",44,34,,38,47,4
Female,"6'4""",106,28,DD,41,45,0
Male,"6'5""",115,37,,41,46,3
Male,"4'11""",62,45,,43,50,3
Male,"5'6""",69,51,,48,49,1
Female,"5'0""",61,31,C,39,46,4
Female,"6'3""",99,42,E,38,44,1
Male,"6'4""",82,30,,28,29,2
Male,"6'6""",99,38,,47,49,3
Female,"6'4""",95,31,AA,31,40,2
Male,"6'0""",89,32,,32,36,4
Female,"5'3""",49,43,AA,38,47,0
Male,"6'3""",106,38,,48,49,1
Female,"6'2""",67,35,D,22,26,3
Male,"6'2""",100,30,,27,27,4
Female,"6'5""",72,41,B,40,46,1
Male,"6'1""",68,49,,27,30,0
Female,"6'0""",89,36,E,39,45,0
Female,"6'6""",101,28,AA,40,47,0
Female,"6'6""",97,32,DD,39,41,1
Female,"5'5""",56,31,D,34,36,3
Female,"6'5""",88,37,F,39,40,1
Female,"5'1""",66,46,B,31,39,4
Female,"6'3""",102,28,F,34,41,1
Female,"5'8""",75,33,DD,34,41,2
Female,"5'0""",50,40,B,31,33,2
Female,"6'2""",95,35,E,22,28,1
Male,"5'9""",88,36,,26,26,1
Male,"5'9""",58,33,,41,47,4
Male,"5'5""",53,43,,35,40,1
Female,"6'4""",107,29,B,32,38,4
Female,"5'1""",71,30,DD,39,49,1
Male,"6'3""",81,44,,43,50,3
Male,"4'11""",59,46,,39,42,3
Male,"5'0""",62,33,,29,35,2
Male,"5'1""",71,39,,42,46,1
Female,"6'6""",112,44,F,27,30,2
Female,"6'2""",82,30,D,33,42,4
Female,"4'11""",50,32,D,31,39,1
Female,"6'0""",74,39,E,38,45,0
Male,"5'10""",81,37,,30,34,1
Male,"6'6""",98,47,,33,34,0
Male,"6'4""",71,30,,32,37,0
Female,"6'5""",111,41,E,27,27,1
Male,"6'6""",99,34,,26,28,4
Female,"5'1""",62,32,A,33,34,4
Female,"5'11""",71,30,AA,27,37,4
Female,"6'6""",92,40,B,28,36,3
Male,"5'7""",81,40,,32,33,3
Female,"5'9""",89,40,B,39,39,0
Male,"5'0""",51,42,,42,50,4
Female,"5'7""",72,44,A,32,40,2
Male,"6'2""",101,38,,34,38,0
Male,"5'0""",60,43,,46,47,1
Female,"5'8""",65,46,A,37,45,0
Female,"6'0""",69,29,C,30,36,2
Female,"6'6""",108,42,B,39,40,3
Female,"4'10""",61,39,D,31,38,3
Female,"5'3""",69,43,DD,42,48,2
Male,"5'10""",75,47,,43,47,0
Male,"5'9""",60,40,,38,44,1
Female,"5'4""",75,38,D,38,45,0
Female,"6'4""",104,34,A,40,40,0
Female,"6'1""",69,42,AA,35,41,1
Female,"6'2""",78,33,DD,22,22,3
Female,"5'4""",63,41,AA,26,30,2
Male,"5'0""",53,36,,43,43,0
Female,"6'1""",83,36,AA,34,36,2
Female,"5'2""",47,40,C,36,36,1
Male,"6'1""",76,41,,45,45,2
Female,"5'0""",52,28,C,24,30,1
Male,"6'1""",102,48,,33,40,4
Male,"5'10""",95,30,,44,49,4
Male,"5'2""",59,46,,35,36,1
Male,"5'5""",79,38,,29,32,2
Male,"5'7""",73,43,,39,45,4
Male,"4'11""",50,37,,33,43,1
Female,"5'4""",64,47,C,32,42,1
Female,"5'6""",65,39,A,33,35,0
Male,"5'0""",60,41,,39,42,2
Male,"5'11""",79,37,,30,33,1
Female,"5'6""",66,41,AA,34,44,0
Female,"6'5""",115,42,AA,40,46,1
Female,"5'9""",74,34,DD,33,40,4
Male,"5'8""",73,34,,38,47,3
Male,"6'2""",103,40,,43,48,0
Male,"5'1""",69,50,,28,37,4
Male,"6'3""",70,38,,29,38,4
Male,"6'5""",79,38,,34,37,3
Female,"5'7""",77,38,F,31,39,4
Male,"5'9""",62,46,,36,44,4
Female,"6'4""",92,35,AA,33,43,1
Male,"6'5""",99,30,,35,45,2
Male,"5'9""",60,36,,45,45,3
Female,"5'0""",47,36,C,33,43,3
Male,"5'4""",65,49,,37,38,2
Male,"4'10""",52,37,,28,37,4
Female,"5'6""",55,34,E,29,39,4
Male,"5'4""",61,36,,43,47,4
Female,"5'7""",70,33,F,37,44,1
Male,"5'11""",83,30,,33,39,3
Female,"5'7""",69,30,A,42,42,2
Female,"6'1""",101,32,B,27,27,3
Male,"6'2""",100,37,,34,44,4
Female,"5'1""",57,44,AA,23,31,2
Female,"5'10""",86,43,E,25,27,1
Male,"6'6""",106,46,,31,37,1
Male,"5'11""",93,52,,46,47,2
Female,"5'10""",85,41,B,35,42,0
Female,"6'1""",86,36,AA,28,38,0
Female,"6'0""",91,45,B,33,39,0
Male,"4'11""",42,43,,26,31,0
Male,"5'0""",67,46,,43,43,1
Male,"6'0""",74,42,,34,37,4
Male,"5'4""",74,46,,45,48,1
Female,"5'11""",72,47,F,28,35,1
Male,"5'2""",57,42,,30,30,0
Female,"5'9""",76,40,B,36,40,2
Male,"5'6""",76,31,,44,48,1
Male,"5'5""",80,39,,30,31,0
Male,"5'9""",85,50,,28,35,0
Female,"5'10""",60,31,AA,23,24,2
Male,"4'11""",57,39,,31,32,3
Male,"6'4""",81,35,,33,38,1
Male,"5'4""",70,43,,41,44,3
Male,"5'5""",72,46,,33,42,0
Male,"4'10""",58,41,,45,46,1
Female,"5'7""",69,33,B,24,26,2
Female,"5'2""",57,40,F,29,33,4
Male,"5'0""",51,36,,39,45,0
Female,"6'6""",92,30,A,38,42,2
Male,"5'4""",50,33,,30,39,1
Female,"5'2""",46,39,D,26,28,2
Female,"6'4""",69,37,D,28,28,3
Female,"5'9""",71,47,D,41,45,0
Male,"5'11""",80,35,,27,32,1
Male,"5'4""",54,39,,35,42,3
Female,"5'2""",48,30,AA,29,30,0
Male,"5'9""",90,51,,45,45,4
Female,"6'0""",80,36,F,27,30,4
Male,"6'6""",102,47,,31,31,0
Male,"4'10""",54,33,,26,33,3
Male,"5'8""",72,39,,27,37,4
Female,"6'0""",62,37,AA,29,34,1
Female,"6'4""",80,44,AA,30,37,4
Female,"5'7""",80,29,A,34,43,3
Female,"4'10""",45,28,B,28,33,1
Female,"5'7""",75,28,A,29,39,2
Female,"5'2""",57,36,E,25,33,2
Male,"5'0""",68,32,,48,50,2
Male,"6'5""",113,35,,46,48,2
Male,"5'7""",56,33,,31,34,2
Male,"5'10""",59,35,,40,40,0
Female,"5'11""",60,36,C,26,34,4
Male,"5'2""",67,50,,35,43,0
Female,"4'11""",61,32,E,27,31,1
Male,"5'10""",59,44,,38,46,0
Female,"6'4""",112,33,D,22,22,3
Female,"6'4""",72,29,F,37,40,3
Male,"6'1""",84,35,,31,34,2
Female,"4'11""",62,41,DD,25,33,4
Female,"5'0""",65,42,B,28,38,1
Male,"5'8""",78,39,,42,43,4
Male,"5'7""",80,49,,37,38,0
Female,"5'0""",67,28,F,34,37,4
Female,"5'3""",69,39,DD,38,42,0
Male,"5'7""",64,50,,44,45,3
Male,"6'5""",98,50,,34,39,4
Male,"6'4""",97,30,,28,33,2
Male,"5'11""",64,49,,40,47,4
Male,"5'7""",68,31,,45,49,1
Female,"5'0""",58,36,B,26,34,0
Male,"4'11""",50,45,,40,47,3
Male,"5'8""",87,30,,40,47,3
Male,"5'3""",75,46,,32,39,3
Male,"6'1""",89,35,,40,43,3
Female,"6'1""",83,33,B,38,38,0
Female,"5'8""",86,47,A,38,46,3
Female,"5'4""",67,41,DD,40,48,1
Male,"5'10""",88,33,,43,49,2
Female,"5'4""",65,35,DD,40,50,0
Male,"4'11""",59,36,,39,43,3
Female,"6'3""",72,44,AA,32,42,2
Male,"5'1""",57,32,,29,35,4
Female,"6'4""",96,30,D,27,33,0
Female,"5'10""",72,46,A,23,23,3
Female,"6'0""",69,32,C,37,37,0
Female,"6'2""",94,39,E,41,43,4
Male,"5'9""",58,33,,32,33,0
Male,"6'4""",93,30,,30,40,1
Female,"5'9""",86,42,E,28,30,3
Female,"5'4""",79,35,AA,42,46,3
Female,"5'1""",46,34,F,37,47,0
Male,"4'10""",58,32,,45,45,1
Male,"5'1""",50,36,,34,34,0
Female,"5'10""",80,45,E,27,35,2
Male,"6'4""",93,49,,28,28,1
Female,"6'2""",74,40,AA,27,28,1
Male,"6'1""",79,32,,32,32,1
Female,"5'6""",58,34,A,32,42,0
Female,"6'1""",80,35,A,30,33,0
Female,"5'8""",58,33,DD,38,41,2
Male,"6'3""",71,31,,43,43,1
Male,"6'5""",88,52,,26,35,1
Male,"4'10""",46,32,,28,38,1
Female,"6'4""",77,33,DD,24,29,2
Male,"4'11""",45,38,,31,40,3
Male,"6'1""",65,46,,41,41,4
Female,"6'4""",105,38,A,30,33,4
Female,"6'5""",72,35,F,35,42,0
Female,"6'2""",72,44,AA,28,30,4
Female,"6'1""",76,46,AA,38,42,3
Male,"5'5""",63,33,,30,37,1
Female,"6'3""",85,37,D,41,46,0
Female,"5'9""",77,42,E,42,50,3
Male,"5'1""",44,38,,32,35,1
Male,"4'10""",57,33,,41,47,3
Male,"5'2""",55,44,,43,50,3
Male,"6'4""",69,39,,32,40,2
Female,"5'4""",56,30,E,36,46,2
Male,"5'3""",55,30,,39,45,4
Male,"4'10""",53,32,,39,42,4
Male,"6'6""",88,49,,41,48,0
Female,"6'0""",62,38,A,39,45,2
Male,"5'6""",84,42,,35,39,2
Male,"6'6""",77,40,,41,50,1
Female,"4'11""",45,33,AA,25,29,4
Female,"6'4""",102,41,AA,32,36,0
Female,"4'11""",62,46,C,35,39,1
Male,"5'0""",66,35,,35,35,4
Female,"5'6""",62,35,A,34,35,2
Male,"4'11""",58,31,,34,36,1
Female,"6'6""",73,31,E,30,31,0
Male,"6'5""",79,32,,34,36,3
Female,"6'1""",72,29,E,37,45,0
Male,"5'7""",80,46,,47,50,1
Male,"6'5""",80,41,,46,49,2
Female,"5'10""",73,29,D,37,43,1
Female,"5'10""",93,34,F,36,42,3
Male,"5'10""",78,51,,29,35,4
Female,"5'7""",79,38,F,25,25,3
Female,"5'0""",50,29,F,23,24,2
Male,"4'10""",59,35,,37,47,0
Female,"5'6""",64,30,D,35,35,4
Female,"6'6""",91,38,DD,27,32,1
Male,"5'6""",57,33,,29,30,3
Male,"4'10""",52,46,,26,26,3
Female,"4'11""",42,33,D,27,37,0
Female,"5'4""",66,48,AA,24,29,2
Female,"5'8""",65,47,DD,36,41,3
Female,"6'1""",74,48,E,22,27,4
Male,"5'4""",63,47,,37,46,0
Male,"5'7""",86,50,,48,50,0
Female,"5'11""",87,30,E,34,44,1
Female,"6'3""",84,31,A,25,30,2
Female,"6'4""",86,32,A,41,47,4
Male,"4'11""",49,42,,41,50,2
Female,"5'5""",64,35,DD,37,44,3
Female,"5'10""",71,43,B,29,36,3
Female,"5'11""",84,30,E,39,39,4
Female,"6'5""",85,44,DD,26,28,1
Female,"5'3""",75,33,F,33,34,0
Male,"5'4""",76,31,,48,50,1
Female,"4'10""",49,41,B,26,28,0
Male,"5'1""",51,32,,31,39,0
Female,"5'0""",60,44,F,39,45,1
Male,"6'6""",102,51,,41,47,2
Female,"5'9""",84,34,DD,33,34,3
Female,"5'4""",66,37,A,38,38,1
Male,"5'6""",79,44,,33,38,3
Female,"5'10""",71,29,B,26,26,3
Female,"5'10""",95,43,C,41,41,3
Female,"5'6""",60,30,DD,22,32,1
Male,"5'9""",57,41,,29,30,2
Female,"6'1""",103,29,E,42,48,1
Male,"5'9""",87,52,,40,45,0
Female,"6'0""",76,43,AA,28,35,3
Male,"5'3""",51,30,,29,34,3
Male,"6'6""",100,37,,38,38,4
Female,"5'6""",73,36,E,30,37,3
Male,"5'9""",84,31,,43,48,1
Female,"5'7""",55,44,C,24,24,2
Female,"6'4""",71,31,AA,33,42,2
Male,"5'10""",83,44,,40,41,0
Female,"5'6""",56,32,DD,29,37,0
Female,"6'6""",102,32,B,26,34,1
Male,"6'6""",93,45,,28,32,4
Male,"6'3""",71,45,,33,35,4
Male,"6'1""",67,43,,30,37,1
Female,"4'11""",48,30,A,22,26,4
Male,"4'11""",50,32,,29,37,4
Female,"5'0""",70,31,A,38,46,2
Female,"6'1""",69,38,A,40,42,2
Female,"5'8""",59,43,C,26,33,0
Male,"6'2""",101,36,,42,42,3
Male,"6'0""",84,40,,39,41,1
Female,"5'9""",77,34,AA,41,50,4
Female,"5'8""",71,39,A,37,44,3
Female,"4'11""",50,36,C,34,41,0
Female,"5'6""",55,41,D,29,35,3
Female,"6'0""",77,29,E,34,39,4
Female,"5'3""",47,42,C,29,34,4
Male,"5'10""",84,45,,35,45,0
Male,"5'7""",58,41,,43,47,2
Male,"5'5""",61,30,,45,48,0
Male,"4'11""",64,47,,36,42,3
Female,"5'10""",63,39,A,37,42,3
Male,"6'5""",102,44,,32,34,0
Male,"5'1""",45,31,,41,48,1
Male,"5'6""",83,38,,32,35,4
Male,"6'2""",105,48,,35,40,4
Male,"5'1""",69,45,,37,43,3
Female,"5'2""",49,28,B,30,30,3
Female,"5'3""",48,41,C,34,39,2
Female,"5'5""",63,43,DD,35,35,2
Female,"5'10""",84,40,E,25,32,3
Female,"5'0""",69,28,A,41,49,0
Male,"4'10""",53,42,,41,46,3
Male,"6'0""",71,44,,37,42,1
Male,"5'4""",55,33,,30,30,4
Female,"6'6""",95,29,E,35,42,3
Female,"6'2""",104,36,DD,33,42,3
Male,"5'5""",67,34,,37,46,3
Female,"5'6""",79,38,F,34,37,0
Male,"5'0""",54,35,,35,42,3
Female,"6'5""",92,36,A,23,32,1
Female,"6'1""",66,34,AA,28,29,0
Female,"5'2""",49,37,A,31,40,4
Male,"4'10""",54,39,,31,41,2
Male,"5'8""",76,48,,39,43,2
Male,"6'6""",94,33,,34,39,3
Female,"6'2""",93,43,F,39,48,3
Male,"5'10""",61,34,,42,50,4
Female,"5'11""",76,43,A,32,40,2
Male,"5'7""",70,51,,37,37,4
Female,"5'11""",76,36,AA,32,36,2
Female,"4'10""",60,40,E,26,36,1
Female,"6'3""",102,32,C,24,27,4
Female,"5'0""",56,45,F,27,36,2
Male,"5'6""",60,35,,28,29,4
Male,"5'6""",58,30,,38,45,1
Male,"6'1""",96,40,,35,38,1
Male,"6'6""",83,46,,48,49,3
Male,"4'11""",47,37,,26,26,4
Female,"6'2""",72,37,A,34,34,4
Male,"5'6""",74,44,,39,48,3
Female,"5'7""",59,38,DD,38,38,1
Female,"5'6""",73,45,AA,35,45,0
Male,"5'5""",69,41,,33,34,1
Male,"6'4""",108,38,,34,37,4
Male,"6'2""",95,41,,40,47,0
Female,"5'1""",55,28,B,31,40,3
Male,"5'11""",75,32,,47,49,2
Male,"6'5""",83,42,,35,43,2
Male,"5'3""",65,31,,42,42,4
Male,"5'9""",75,42,,34,42,3
Male,"4'10""",52,47,,42,43,1
Male,"4'11""",43,35,,33,42,1
Male,"5'11""",87,46,,32,42,1
Male,"5'5""",81,50,,37,45,2
Male,"5'10""",90,31,,40,45,4
Female,"4'10""",63,48,A,22,22,3
Male,"6'4""",76,32,,45,49,2
Female,"6'4""",84,47,B,34,37,1
Female,"6'0""",75,43,F,22,29,1
Male,"5'0""",51,31,,37,39,0
Female,"6'2""",87,44,B,39,46,3
Male,"6'5""",77,40,,47,49,3
Female,"5'7""",54,35,A,32,35,1
Male,"5'2""",67,40,,27,27,0
Male,"4'10""",42,30,,40,49,4
Male,"5'1""",60,32,,45,49,3
Female,"4'11""",52,33,F,25,33,3
Female,"6'5""",79,39,B,38,45,1
Female,"6'6""",74,30,E,26,33,3
Male,"5'1""",65,50,,40,41,0
Female,"5'6""",56,38,B,22,29,2
Female,"6'6""",83,33,A,24,33,2
Female,"5'6""",65,36,DD,35,41,0
Female,"6'5""",86,36,B,35,40,1
Male,"6'6""",79,33,,41,49,4
Female,"6'6""",84,48,DD,39,45,3
Female,"6'5""",98,44,A,31,37,0
Male,"5'1""",44,39,,29,35,2
Female,"5'9""",71,34,D,36,43,3
Female,"5'3""",69,38,DD,34,35,2
Female,"5'1""",60,32,AA,24,33,2
Male,"5'8""",70,36,,36,38,4
Male,"6'0""",83,33,,35,36,0
Male,"5'4""",79,51,,34,42,3
Female,"6'1""",98,37,E,24,30,3
Female,"5'5""",72,43,A,25,27,4
Female,"6'2""",103,47,B,42,50,1
Female,"6'2""",101,36,E,34,34,2
Female,"6'2""",89,43,AA,26,31,0
Female,"5'0""",46,40,DD,23,24,0
Female,"5'2""",53,30,DD,26,32,2
Female,"5'2""",50,28,D,24,30,0
Male,"5'1""",70,42,,40,44,4
Female,"6'0""",88,38,C,36,36,4
Male,"5'5""",67,37,,44,44,0
Female,"6'2""",66,28,AA,36,39,0
Male,"5'7""",62,37,,28,37,2
Male,"6'5""",77,30,,39,40,2
Male,"5'5""",68,41,,43,49,0
Male,"5'1""",69,51,,36,39,4
Male,"5'2""",70,50,,41,41,4
Female,"6'0""",67,46,DD,33,43,4
Male,"6'0""",95,33,,42,48,3
Male,"5'0""",46,41,,28,38,3
Female,"5'6""",79,34,C,25,28,1
Male,"5'5""",63,36,,45,48,2
Male,"6'2""",75,44,,38,45,4
Female,"5'5""",79,48,DD,40,50,0
Female,"5'2""",61,36,A,30,39,0
Female,"5'1""",53,31,AA,35,36,4
Male,"5'9""",65,42,,26,26,4
Female,"5'10""",94,42,AA,35,45,0
Male,"5'8""",89,34,,42,42,2
Female,"6'6""",87,29,B,27,28,3
Male,"5'2""",50,44,,38,44,4
Female,"5'2""",54,40,F,25,28,2
Male,"6'3""",76,51,,31,38,3
Female,"5'9""",76,30,F,32,35,0
Male,"6'5""",81,52,,30,37,0
Male,"4'10""",53,47,,42,49,2
Female,"6'3""",94,46,DD,23,25,3
Male,"6'2""",99,39,,34,42,0
Female,"5'0""",66,30,C,41,49,4
Female,"5'8""",66,32,D,23,27,0
Female,"5'11""",69,46,C,39,47,3
Male,"6'1""",90,44,,33,37,0
Male,"5'9""",76,33,,32,40,1
Female,"6'2""",92,32,E,39,48,1
Male,"4'10""",60,36,,46,50,4
Female,"6'0""",63,48,AA,30,34,0
Female,"5'9""",71,33,E,27,33,1
Female,"6'5""",94,37,D,32,35,1
Female,"6'1""",86,28,E,40,48,2
Female,"5'8""",58,37,F,25,34,4
Male,"4'11""",63,49,,45,50,2
Female,"5'8""",56,39,AA,24,24,0
Male,"5'0""",65,45,,35,35,1
Male,"6'6""",107,33,,45,46,4
Male,"4'11""",62,40,,42,50,2
Female,"5'6""",82,31,C,42,50,1
Female,"5'4""",73,45,D,36,40,2
Male,"5'1""",61,31,,29,31,2
Male,"6'2""",104,36,,34,44,1
Male,"5'4""",63,38,,41,50,3
Female,"5'3""",54,45,A,29,37,4
Male,"5'10""",76,44,,28,34,2
Male,"5'8""",58,39,,37,37,3
Male,"5'4""",63,46,,28,31,3
Male,"6'6""",83,45,,35,43,0
Female,"5'0""",59,30,A,28,31,4
Female,"5'2""",70,40,DD,34,36,3
Female,"5'6""",84,47,F,36,38,0
Male,"6'4""",73,47,,31,38,2
Female,"5'1""",45,34,E,25,29,1
Male,"6'5""",89,32,,35,39,3
